"nombre","nombre_oficial","pais_operador","operador","usos","finalidad","clase_orbita","periodo","masa","fecha","NORAD"
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)","Galileo FOC FM5","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO",845,723,11/09/2015,40889
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)","Galileo FOC FM6","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO",844,723,11/09/2015,40890
"Galileo FOC FM7 (0207, Galileo 15)","Galileo FOC FM7","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO",847,723,17/11/2016,41859
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)","Galileo FOC FM8","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO","860,51",723,17/12/2015,41175
"Galileo FOC FM9 (0209, Galileo 12, E09)","Galileo FOC FM9","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO","858,34",723,17/12/2015,41174
"Galileo IOV-1 FM2 (0102, PRN E12)","Galileo IOV-1 FM2","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO","846,98",700,21/10/2011,37847
"Galileo IOV-1 PFM (0101, PRN E11)","Galileo IOV-1 PFM","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO","846,88",700,21/10/2011,37846
"Galileo IOV-2 FM3 (0103, PRN E19)","Galileo IOV-2 FM3","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO","844,76",700,12/10/2012,38857
"Galileo IOV-2 FM4 (0104, PRN E20)","Galileo IOV-2 FM4","ESA","European Space Agency (ESA)","Commercial","Navigation/Global Positioning","MEO","844,69",700,12/10/2012,38858
"Gaofen 1","Gaofen 1","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","97,56",1.000,26/04/2013,39150
"Gaofen 10","Gaofen 10","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","97,03",1.000,04/10/2019,44622
"Gaofen 11","Gaofen 11","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","Elliptical","93,9",1.000,31/07/2018,43585
"Gaofen 11-02","Gaofen 11-02","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","Elliptical","93,9",1.000,07/09/2020,46396
"Gaofen 12","Gaofen 12","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","96,9",1.000,28/11/2019,44819
"Gaofen 13","Gaofen 13","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","GEO","1436,13",1.000,11/10/2020,46610
"Gaofen 14","Gaofen 14","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","94,4",1.000,06/12/2020,47231
"Gaofen 2","Gaofen 2","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","97,06",1.000,19/08/2014,40118
"Gaofen 3 ","Gaofen 3","China","State Oceanic Administration (SOA)","Government","Earth Observation","LEO","99,8",1.000,09/08/2016,41727
"Gaofen 4","Gaofen 4","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","GEO","1436,1",4.600,28/12/2015,41194
"Gaofen 7","Gaofen 7","China","Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics","Government","Earth Observation","LEO","94,5",9,03/11/2019,44703
"Gaofen 8","Gaofen 8","China","People's Liberation Army (C41)","Military","Earth Observation","LEO","94,36",1.000,26/06/2015,40701
"Gaofen 9","Gaofen 9","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","97,54",1.000,14/09/2015,40894
"Gaofen 9-02","Gaofen 9-02","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","94,5",1.000,31/05/2020,45625
"Gaofen 9-03","Gaofen 9-03","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","94,5",1.000,17/06/2020,45794
"Gaofen 9-04","Gaofen 9-04","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","94,5",1.000,06/08/2020,46025
"Gaofen 9-05","Gaofen 9-05","China","China National Academy of Sciences (CNSAS)","Government","Earth Observation","LEO","94,5",1.000,23/08/2020,46232
"Gaofen Multi-Mode 1","Gaofen Multi-Mode 1","China","China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","Government","Earth Observation","LEO","97,5",,03/07/2020,45856
"Gaofen 1-02","Gaofen 1-02","China","China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","Government","Earth Observation","LEO","97,5",805,30/03/2018,43259
"Gaofen 1-03","Gaofen 1-03","China","China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","Government","Earth Observation","LEO","97,5",805,30/03/2018,43260
"Gaofen 1-04","Gaofen 1-04","China","China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","Government","Earth Observation","LEO","97,5",805,30/03/2018,43262
"Gaofen 1-05","Gaofen 1-05","China","China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","Government","Earth Observation","LEO","98,4",805,08/05/2018,43461
"Gaofen 1-06","Gaofen 1-06","China","China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","Government","Earth Observation","LEO","97,3",1.064,03/06/2018,43484
"Garpun-1 (Cosmos 2473)","Cosmos 2473","Russia","Ministry of Defense","Military","Communications","GEO","1436,1",5.000,20/09/2011,37806
"Garpun-12L (Cosmos 2513)","Cosmos 2513","Russia","Ministry of Defense","Military","Communications","GEO","1436,1",5.000,10/12/2015,41121
"GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance)","GATOSS","Denmark","GomSpace ApS","Commercial","Technology Development","LEO","98,9",5,21/11/2013,39430
"GCOM-C (Global Change Observation Mission Climate, Shikisai)","GCOM-C","Japan","Japan Aerospace Exploration Agency (JAXA)","Government","Earth Observation","LEO","100,69",2.200,22/12/2017,43065
"GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite)","GEARRSAT-2","USA","NearSpace Launch/Air Force Research Laboratory","Government","Technology Development","LEO",95,10,20/05/2015,40657
"GECAM-A (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor)","GECAM-A","China","Chinese Academy of Sciences","Government","Space Science","LEO","96,6",150,09/12/2020,47234
"GECAM-B (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor)","GECAM-B","China","Chinese Academy of Sciences","Government","Space Science","LEO","96,6",150,09/12/2020,47235
"Genesis-1","Genesis-1","USA","Bigelow Aerospace","Commercial","Technology Development","LEO","95,6",1.360,12/07/2006,29252
"Genesis-2","Genesis-2","USA","Bigelow Aerospace","Commercial","Technology Development","LEO","95,6",1.360,28/06/2007,31789
"GEO IK2 12L (Cosmos 2517)","Cosmos 2517","Russia","Ministry of Defense","Military","Earth Science","LEO","104,03",900,05/06/2016,41579
"GEO IK2 13L (Cosmos 2540)","Cosmos 2540","Russia","Ministry of Defense","Military","Earth Science","LEO","103,9",900,30/08/2019,44517
"GeoEye-1 (Orbview 5)","GeoEye-1","USA","DigitalGlobe Corporation","Government/Commercial","Earth Observation","LEO","98,3",1.955,06/09/2008,33331
"GEO-Kompsat-2A","GEO-Kompsat-2A","South Korea","Korea Meteorological Administration/National Meteorological Satellite Center","Government","Earth Observation","GEO","1436,04",3.507,04/12/2018,43823
"GEO-Kompsat-2B","GEO-Kompsat-2B","South Korea","Korea Meteorological Administration/National Meteorological Satellite Center","Government","Earth Observation","GEO","1436,13",3.379,18/02/2020,45246
"Geotail (Geomagnetic Tail Laboratory)","Geomagnetic Tail Laboratory (Geotail)","Multinational","Institute of Space and Astronautical Science (ISAS)/NASA/ESA","Government","Space Science","Elliptical","2.474,83",980,24/07/1992,22049
"GHGSat-C1 (Iris)","GHGSat-C1","Canada","GHGSat, Inc.","Commercial","Earth Science","LEO","94,50",15,02/09/2020,46278
"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)","GHGSat-D","Canada","GHGSat, Inc.","Commercial","Earth Science","LEO","94,70",15,22/06/2016,41602
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)","GCOM-1","USA/Japan","Japan Aerospace Exploration Agency (JAXA)","Government","Earth Observation","LEO","98,80",1.900,17/05/2012,38337
"Globalstar M037 (Globalstar 16)","Globalstar FM37","USA","Globalstar","Commercial","Communications","LEO","114,1",450,15/03/1999,25652
"Globalstar M065 (Globalstar 65)","Globalstar M065","USA","Globalstar","Commercial","Communications","LEO","114,1",450,29/05/2007,31571
"Globalstar M066 (Globalstar 66)","Globalstar M066","USA","Globalstar","Commercial","Communications","LEO","114,1",450,20/10/2007,32265
"Globalstar M067 (Globalstar 67)","Globalstar M067","USA","Globalstar","Commercial","Communications","LEO","114,1",450,20/10/2007,32263
"Globalstar M069 (Globalstar 69)","Globalstar M069","USA","Globalstar","Commercial","Communications","LEO","114,1",450,29/05/2007,31573
"Globalstar M070 (Globalstar 70)","Globalstar M070","USA","Globalstar","Commercial","Communications","LEO","114,1",450,20/10/2007,32264
"Globalstar M071 (Globalstar 71)","Globalstar M071","USA","Globalstar","Commercial","Communications","LEO","114,1",450,29/05/2007,31576
"Globalstar M072 (Globalstar 72)","Globalstar M072","USA","Globalstar","Commercial","Communications","LEO","114,1",450,29/05/2007,31574
"Globalstar M073 (Globalstar 73, Globalstar 2-6)","Globalstar M073","USA","Globalstar","Commercial","Communications","LEO","114,1",700,19/10/2010,37193
"Globalstar M074 (Globalstar 74, Globalstar 2-2)","Globalstar M074","USA","Globalstar","Commercial","Communications","LEO","114,1",700,19/10/2010,37189
"Globalstar M075 (Globalstar 75, Globalstar 2-5)","Globalstar M075","USA","Globalstar","Commercial","Communications","LEO","114,1",700,19/10/2010,37192
"Globalstar M076 (Globalstar 76, Globalstar 2-3)","Globalstar M076","USA","Globalstar","Commercial","Communications","LEO","114,1",700,19/10/2010,37190
"Globalstar M077 (Globalstar 77, Globalstar 2-4)","Globalstar M077","USA","Globalstar","Commercial","Communications","LEO","114,1",700,19/10/2010,37191
"Globalstar M078 (Globalstar 95, Globalstar 2-23)","Globalstar M078","USA","Globalstar","Commercial","Communications","LEO","114,08",700,06/02/2013,39076
"Globalstar M079 (Globalstar 79, Globalstar 2-1)","Globalstar M079","USA","Globalstar","Commercial","Communications","LEO","114,1",700,19/10/2010,37188
"Globalstar M080 (Globalstar 80, Globalstar 2-14)","Globalstar M080","USA","Globalstar","Commercial","Communications","LEO","114,1",700,28/12/2011,38041
"Globalstar M081 (Globalstar 81, Globalstar 2-11)","Globalstar M081","USA","Globalstar","Commercial","Communications","LEO","114,1",700,13/07/2011,37743
"Globalstar M082 (Globalstar 82, Globalstar 2-15)","Globalstar M082","USA","Globalstar","Commercial","Communications","LEO","114,1",700,28/12/2011,38042
"Globalstar M083 (Globalstar 83, Globalstar 2-7)","Globalstar M083","USA","Globalstar","Commercial","Communications","LEO","114,1",700,13/07/2011,37739
"Globalstar M084 (Globalstar 84, Globalstar 2-13) ","Globalstar M084","USA","Globalstar","Commercial","Communications","LEO","114,1",700,28/12/2011,38040
"Globalstar M085 (Globalstar 85, Globalstar 2-10)","Globalstar M085","USA","Globalstar","Commercial","Communications","LEO","114,1",700,13/07/2011,37742
"Globalstar M086 (Globalstar 86, Globalstar 2-18)","Globalstar M086","USA","Globalstar","Commercial","Communications","LEO","114,1",700,28/12/2011,38045
"Globalstar M088 (Globalstar 88, Globalstar 2-8)","Globalstar M088","USA","Globalstar","Commercial","Communications","LEO","114,1",700,13/07/2011,37740
"Globalstar M089 (Globalstar 89, Globalstar 2-12)","Globalstar M089","USA","Globalstar","Commercial","Communications","LEO","118,2",700,13/07/2011,37744
"Globalstar M090 (Globalstar 90, Globalstar 2-17)","Globalstar M090","USA","Globalstar","Commercial","Communications","LEO","114,1",700,28/12/2011,38044
