fecha,total,acumulado
2007-11-17,1,333
2007-12-14,1,334
2007-12-20,1,335
2007-12-21,1,336
2007-12-25,2,338
2008-01-10,1,339
2008-01-12,1,340
2008-01-15,1,341
2008-01-21,1,342
2008-01-28,1,343
2008-03-13,1,344
2008-03-15,1,345
2008-03-19,1,346
2008-03-27,1,347
2008-04-14,1,348
2008-04-18,2,350
2008-04-25,1,351
2008-04-28,5,356
2008-05-09,2,358
2008-05-11,3,361
2008-05-21,1,362
2008-05-23,4,366
2008-06-09,1,367
2008-07-07,2,369
2008-07-16,1,370
2008-07-22,1,371
2008-08-14,2,373
2008-08-18,1,374
2008-09-06,1,375
2008-09-19,1,376
2008-09-24,1,377
2008-10-12,1,378
2008-10-19,1,379
2008-10-25,3,382
2008-11-02,1,383
2008-11-06,1,384
2008-12-06,2,386
2008-12-20,2,388
2009-01-07,1,389
2009-01-10,2,391
2009-01-18,1,392
2009-01-23,3,395
2009-02-11,2,397
2009-02-26,1,398
2009-03-04,1,399
2009-04-04,1,400
2009-04-20,2,402
2009-04-22,1,403
2009-05-05,1,404
2009-05-16,1,405
2009-06-02,1,406
2009-06-07,2,408
2009-06-12,1,409
2009-06-21,1,410
2009-06-27,1,411
2009-06-30,1,412
2009-07-29,5,417
2009-08-09,1,418
2009-08-10,1,419
2009-08-17,1,420
2009-08-21,2,422
2009-08-31,1,423
2009-09-12,1,424
2009-09-17,1,425
2009-09-23,2,427
2009-09-25,2,429
2009-10-18,1,430
2009-10-29,2,432
2009-11-02,5,437
2009-11-08,1,438
2009-11-20,1,439
2009-11-23,1,440
2009-11-24,1,441
2009-11-28,1,442
2009-11-30,1,443
2009-12-11,1,444
2009-12-14,2,446
2009-12-15,2,448
2009-12-18,1,449
2009-12-29,1,450
2010-01-03,3,453
2010-01-28,1,454
2010-02-09,1,455
2010-02-11,1,456
2010-03-06,1,457
2010-03-20,1,458
2010-04-03,1,459
2010-04-08,2,461
2010-04-09,1,462
2010-04-11,1,463
2010-04-24,1,464
2010-05-03,3,467
2010-05-21,2,469
2010-05-28,1,470
2010-06-10,2,472
2010-06-11,1,473
2010-06-15,1,474
2010-06-21,1,475
2010-06-22,1,476
2010-06-26,2,478
2010-07-31,1,479
2010-08-04,1,480
2010-08-09,2,482
2010-08-24,1,483
2010-09-08,1,484
2010-09-21,1,485
2010-09-22,3,488
2010-09-26,1,489
2010-10-07,1,490
2010-10-14,1,491
2010-10-19,6,497
2010-10-28,1,498
2010-10-31,1,499
2010-11-02,1,500
2010-11-09,1,501
2010-11-14,1,502
2010-11-20,2,504
2010-11-21,1,505
2010-11-24,1,506
2010-11-26,2,508
2010-12-02,1,509
2010-12-07,3,512
2010-12-17,1,513
2010-12-26,1,514
2010-12-29,2,516
2011-01-12,1,517
2011-01-20,2,519
2011-02-03,1,520
2011-02-10,1,521
2011-02-26,1,522
2011-04-05,1,523
2011-04-11,3,526
2011-04-15,2,528
2011-04-20,3,531
2011-04-22,2,533
2011-05-10,1,534
2011-05-20,3,537
2011-06-02,1,538
2011-06-07,1,539
2011-06-08,2,541
2011-06-20,1,542
2011-07-05,1,543
2011-07-10,1,544
2011-07-13,6,550
2011-07-15,3,553
2011-07-16,1,554
2011-07-18,1,555
2011-07-26,1,556
2011-07-29,1,557
2011-08-15,1,558
2011-08-17,5,563
2011-09-04,1,564
2011-09-11,1,565
2011-09-18,1,566
2011-09-20,1,567
2011-09-21,2,569
2011-09-23,1,570
2011-09-24,1,571
2011-09-27,1,572
2011-09-29,1,573
2011-10-19,1,574
2011-10-21,2,576
2011-10-28,2,578
2011-11-07,1,579
2011-11-08,1,580
2011-11-12,1,581
2011-11-20,2,583
2011-11-25,1,584
2011-11-29,1,585
2011-12-10,2,587
2011-12-12,1,588
2011-12-17,7,595
2011-12-22,1,596
2011-12-28,6,602
2012-01-06,1,603
2012-01-20,1,604
2012-02-08,2,606
2012-02-11,2,608
2012-02-12,1,609
2012-02-14,1,610
2012-02-24,2,612
2012-03-04,1,613
2012-03-05,1,614
2012-03-12,1,615
2012-03-25,1,616
2012-03-31,1,617
2012-04-10,1,618
2012-04-23,1,619
2012-04-25,1,620
2012-04-28,2,622
2012-05-07,2,624
2012-05-15,2,626
2012-05-17,4,630
2012-05-18,1,631
2012-05-26,1,632
2012-05-29,1,633
2012-06-05,1,634
2012-06-13,1,635
2012-06-20,1,636
2012-06-29,1,637
2012-07-22,4,641
2012-07-25,1,642
2012-07-28,1,643
2012-08-12,1,644
2012-08-19,1,645
2012-08-30,2,647
2012-09-01,1,648
2012-09-07,1,649
2012-09-09,1,650
2012-09-13,6,656
2012-09-17,1,657
2012-09-18,1,658
2012-09-28,3,661
2012-10-05,1,662
2012-10-11,2,664
2012-10-14,3,667
2012-10-25,1,668
2012-11-14,1,669
2012-11-18,2,671
2012-11-20,2,673
2012-11-25,3,676
2012-11-27,1,677
2012-12-01,1,678
2012-12-10,2,680
2012-12-18,1,681
2012-12-19,2,683
2013-01-05,1,684
2013-01-07,1,685
2013-01-09,3,688
2013-01-15,3,691
2013-01-27,2,693
2013-01-30,1,694
2013-01-31,1,695
2013-02-25,5,700
2013-03-06,1,701
2013-03-12,1,702
2013-03-19,1,703
2013-03-26,1,704
2013-04-15,1,705
2013-04-19,1,706
2013-04-26,2,708
2013-05-12,1,709
2013-05-14,1,710
2013-05-15,1,711
2013-05-25,1,712
2013-06-02,6,718
